Vértice,X,Y,Z
397,-22.7108,11.0699,0.0000
398,-22.7175,11.2498,0.0000
399,-22.7282,11.4365,0.0000
400,-22.7415,11.6319,0.0000
401,-22.7557,11.8384,0.0000
402,-22.7694,12.0579,0.0000
403,-22.7812,12.2926,0.0000
404,-22.7896,12.5446,0.0000
405,-22.7930,12.8160,0.0000
406,-22.7900,13.1090,0.0000
407,-22.7791,13.4257,0.0000
408,-22.7588,13.7682,0.0000
409,-22.7317,14.1031,0.0000
410,-22.7008,14.3973,0.0000
411,-22.6653,14.6537,0.0000
412,-22.6242,14.8748,0.0000
413,-22.5765,15.0636,0.0000
414,-22.5215,15.2227,0.0000
415,-22.4581,15.3548,0.0000
416,-22.3854,15.4627,0.0000
417,-22.3026,15.5492,0.0000
418,-22.2086,15.6169,0.0000
419,-22.1027,15.6685,0.0000
